Timestamp,Prediction
1727672944.856291,ObstructiveApnea
1727672954.8640661,NormalSleep
1727672964.872853,NormalSleep
1727672974.879669,NormalSleep
1727672984.888305,NormalSleep
1727672994.8949819,NormalSleep
1727673004.9029162,NormalSleep
1727673014.9095411,NormalSleep
1727673024.9171321,NormalSleep
1727673034.9237068,NormalSleep
1727673044.930227,NormalSleep
1727673054.9384,NormalSleep
1727673064.945367,NormalSleep
1727673074.9534159,NormalSleep
1727673084.961271,NormalSleep
1727673094.968385,NormalSleep
1727673104.9762208,NormalSleep
1727673114.9827871,NormalSleep
1727673124.989602,NormalSleep
1727673134.9963799,NormalSleep
1727673145.00444,NormalSleep
1727673155.0111842,NormalSleep
1727673165.018951,NormalSleep
1727673175.0257978,NormalSleep
1727673185.032543,NormalSleep
1727673195.040958,NormalSleep
1727673205.048655,NormalSleep
1727673215.0567338,NormalSleep
1727673225.06319,NormalSleep
1727673235.0702238,NormalSleep
1727673245.078152,NormalSleep
1727673255.084927,NormalSleep
1727673265.091545,ObstructiveApnea
1727673275.0983622,NormalSleep
1727673285.106127,NormalSleep
1727673295.1138308,NormalSleep
1727673305.121493,NormalSleep
1727673315.129353,NormalSleep
1727673325.136616,NormalSleep
1727673335.143457,NormalSleep
1727673345.1510432,NormalSleep
1727673355.1575072,NormalSleep
1727673365.164331,NormalSleep
1727673375.172752,NormalSleep
1727673385.179189,NormalSleep
1727673395.1857579,NormalSleep
1727673405.193697,NormalSleep
1727673415.202633,NormalSleep
1727673425.2107441,NormalSleep
1727673435.217864,NormalSleep
1727673445.226084,NormalSleep
1727673455.2339358,ObstructiveApnea
1727673465.241686,ObstructiveApnea
1727673475.249544,NormalSleep
1727673485.257259,NormalSleep
1727673495.2650619,NormalSleep
1727673505.272928,NormalSleep
1727673515.279456,NormalSleep
1727673525.287551,NormalSleep
1727673535.295439,NormalSleep
1727673545.302285,NormalSleep
1727673555.309974,ObstructiveApnea
1727673565.316588,NormalSleep
1727673575.3243961,NormalSleep
1727673585.3321111,NormalSleep
1727673595.340126,NormalSleep
1727673605.346571,NormalSleep
1727673615.38225,NormalSleep
1727673625.393003,NormalSleep
1727673635.4006689,NormalSleep
1727673645.408333,NormalSleep
1727673655.414801,NormalSleep
1727673665.422938,NormalSleep
1727673675.430631,NormalSleep
1727673685.4374242,NormalSleep
1727673695.445127,NormalSleep
1727673705.45157,NormalSleep
1727673715.459595,NormalSleep
1727673725.466423,NormalSleep
1727673735.4740832,NormalSleep
1727673745.480513,NormalSleep
1727673755.488466,NormalSleep
1727673765.495212,NormalSleep
1727673775.503219,NormalSleep
1727673785.510426,NormalSleep
1727673795.518027,NormalSleep
1727673805.525722,NormalSleep
1727673815.5326478,NormalSleep
1727673825.5395358,NormalSleep
1727673835.5472052,NormalSleep
1727673845.5551639,NormalSleep
1727673855.561708,NormalSleep
1727673865.5696142,ObstructiveApnea
1727673875.5776582,NormalSleep
1727673885.585398,NormalSleep
1727673895.593112,NormalSleep
1727673905.600773,NormalSleep
1727673915.607511,NormalSleep
1727673925.615201,ObstructiveApnea
1727673935.623229,NormalSleep
1727673945.630987,NormalSleep
1727673955.638589,NormalSleep
1727673965.645429,NormalSleep
1727673975.653801,NormalSleep
1727673985.6606221,NormalSleep
1727673995.668247,NormalSleep
1727674005.6749382,NormalSleep
1727674015.682671,NormalSleep
1727674025.692532,NormalSleep
1727674035.700293,NormalSleep
1727674045.707059,NormalSleep
1727674055.7134972,NormalSleep
1727674065.720942,NormalSleep
1727674075.727747,NormalSleep
1727674085.73551,NormalSleep
1727674095.743293,NormalSleep
1727674105.749908,NormalSleep
1727674115.756601,NormalSleep
1727674125.76443,NormalSleep
1727674135.7729762,NormalSleep
1727674145.780738,NormalSleep
1727674155.789282,NormalSleep
1727674165.797068,NormalSleep
1727674175.8054001,NormalSleep
1727674185.813042,ObstructiveApnea
1727674195.8211951,NormalSleep
1727674205.827769,NormalSleep
1727674215.835582,NormalSleep
1727674225.843312,ObstructiveApnea
1727674235.8503559,NormalSleep
1727674245.858092,ObstructiveApnea
1727674255.864683,NormalSleep
1727674265.8727639,NormalSleep
1727674275.8804538,NormalSleep
1727674285.8885498,NormalSleep
1727674295.895066,NormalSleep
1727674305.903052,NormalSleep
1727674315.9097521,NormalSleep
1727674325.9173892,NormalSleep
1727674335.925138,NormalSleep
1727674345.931668,NormalSleep
1727674355.939428,NormalSleep
1727674365.947291,NormalSleep
1727674375.955435,NormalSleep
1727674385.9620469,NormalSleep
1727674395.9688609,NormalSleep
1727674405.9761431,NormalSleep
1727674415.982542,NormalSleep
1727674425.989503,NormalSleep
1727674435.997248,NormalSleep
1727674446.0044029,NormalSleep
1727674456.0122838,ObstructiveApnea
1727674466.020736,ObstructiveApnea
1727674476.0279648,NormalSleep
1727674486.036109,ObstructiveApnea
1727674496.044162,NormalSleep
